Issue Type,Parent Key,Summary,Description,Story Points,Priority,Assignee,Labels,Sprint,Due Date,Status
Epic,,Блок 1: Техническая основа для AI-продвижения,"Настроить техническую инфраструктуру для индексации DimKava в AI-системах (ChatGPT, Gemini, Claude). Результат: GMB профили готовы, FAQ на 3 языках, Schema.org разметка внедрена.",34,Highest,,"block-1,technical,foundation,ai-seo",Sprint 1,+14d,To Do
Story,AIPR-1,Создать и настроить Google My Business для Тбилиси и Батуми,"Создать полноценные GMB профили для обеих локаций с фото, описаниями на 3 языках, верификацией. Чтобы клиенты находили нас в Google Maps и AI рекомендовали при локальных запросах.",13,Highest,Настя,"gmb,local-seo,critical",Sprint 1,+7d,To Do
Task,AIPR-10,Подготовка данных для GMB,"Собрать всю информацию о компании для GMB: адреса, телефоны, описания на RU/EN/KA, список услуг, категории, часы работы.",3,Highest,Нини,"data-collection,content",Sprint 1,+2d,To Do
Task,AIPR-10,Фотоматериалы для GMB,"Подготовить 40+ качественных фотографий для обоих профилей (интерьер, продукты, команда, оборудование). Требования: 720px+, хорошее освещение.",5,Highest,Настя,"photos,visual,content",Sprint 1,+3d,To Do
Task,AIPR-10,Создание профилей GMB,"Создать 2 профиля в Google Business Profile Manager, заполнить всей информацией, загрузить фото, настроить категории и услуги.",3,Highest,Настя,"gmb,setup",Sprint 1,+5d,To Do
Task,AIPR-10,Верификация профилей GMB,"Пройти процесс верификации для Тбилиси и Батуми (почтовая открытка или звонок), ввести коды, активировать профили.",1,Highest,Настя,"gmb,verification",Sprint 1,+7d,To Do
Task,AIPR-10,Интеграция GMB с сайтом,"Добавить виджеты Google Maps на сайт, кнопки для отзывов, настроить мониторинг отзывов, интеграция в Schema.org.",1,High,Иван,"integration,website",Sprint 1,+8d,To Do
Story,AIPR-1,Создать страницу FAQ на 3 языках,"Разработать страницу FAQ с 30-40 вопросами-ответами на RU/EN/KA. Для клиентов — быстрые ответы, для AI — структурированные данные для цитирования.",13,High,Нини,"faq,content,multilingual,seo",Sprint 1,+14d,To Do
Task,AIPR-20,Сбор и структурирование вопросов,"Собрать 30-40 популярных вопросов от клиентов (кофе, оборудование, сервис, доставка). Сгруппировать по 5 категориям.",3,High,Нини,"research,content",Sprint 1,+3d,To Do
Task,AIPR-20,Написание ответов на русском,"Написать полные, экспертные ответы на все вопросы (100-300 слов). Тон: дружелюбный эксперт. Включить бренды, локации, CTA.",5,High,Нини,"content,writing",Sprint 1,+6d,To Do
Task,AIPR-20,Перевод FAQ на английский и грузинский,"Качественный перевод всех вопросов и ответов на EN и KA. Проверка носителями языков. Технические термины корректны.",3,High,Настя,"translation,multilingual",Sprint 1,+8d,To Do
Task,AIPR-20,SEO-оптимизация FAQ,"Keyword research, включение ключевых слов в вопросы, оптимизация meta tags, внутренние ссылки, alt-теги.",1,Medium,Настя,"seo,optimization",Sprint 1,+9d,To Do
Task,AIPR-20,Создание страницы FAQ на сайте,"Разработать страницу /faq/ с многоязычностью, accordion для вопросов, адаптивный дизайн, переключатель языков.",3,High,Иван,"development,frontend",Sprint 1,+11d,To Do
Task,AIPR-20,Добавление Schema.org FAQPage,"Внедрить JSON-LD разметку FAQPage для всех вопросов на 3 языках. Валидация в Google Rich Results Test.",2,High,Иван,"schema,seo,structured-data",Sprint 1,+12d,To Do
Story,AIPR-1,Добавить Schema.org разметку на ключевые страницы,"Внедрить структурированные данные: LocalBusiness (Тбилиси, Батуми), Product, Service. Чтобы AI точно понимали, что предлагает DimKava.",8,High,Иван,"schema,structured-data,seo,ai-optimization",Sprint 1,+14d,To Do
Task,AIPR-30,Сбор данных для Schema.org,"Собрать полные данные: координаты GPS, адреса, телефоны, часы работы, товары с ценами, услуги. Структурировать в таблицу.",1,High,"Нини,Настя",data-collection,Sprint 1,+3d,To Do
Task,AIPR-30,LocalBusiness Schema — Тбилиси,"Создать и внедрить JSON-LD разметку LocalBusiness для Тбилиси: адрес, координаты, часы работы, контакты. Валидация.",2,High,Иван,"schema,local-seo",Sprint 1,+10d,To Do
Task,AIPR-30,LocalBusiness Schema — Батуми,"Создать и внедрить JSON-LD разметку LocalBusiness для Батуми (аналогично Тбилиси). Валидация.",2,High,Иван,"schema,local-seo",Sprint 1,+11d,To Do
Task,AIPR-30,Product Schema для товаров,"Добавить Product Schema для топ-10 товаров (Blasercafe, Delonghi): название, цена, наличие, изображения. Валидация.",2,Medium,Иван,"schema,ecommerce",Sprint 1,+12d,To Do
Task,AIPR-30,Service Schema для услуг,"Добавить Service Schema для 5-7 услуг (ремонт, консультации): описание, цена, область обслуживания. Валидация.",1,Medium,Иван,"schema,services",Sprint 1,+13d,To Do
Task,AIPR-30,Валидация и мониторинг Schema,"Финальная проверка всех Schema в Rich Results Test и Schema.org Validator. Индексация в GSC. Создать документацию.",1,High,Иван,"validation,monitoring",Sprint 1,+14d,To Do

